state,date,u_rate
Negeri Sembilan,1998-01-01,3.6
Negeri Sembilan,1999-01-01,3.8
Negeri Sembilan,2000-01-01,3.4
Negeri Sembilan,2001-01-01,3.2
Negeri Sembilan,2002-01-01,3.7
Negeri Sembilan,2003-01-01,3.5
Negeri Sembilan,2004-01-01,3.5
Negeri Sembilan,2005-01-01,3.6
Negeri Sembilan,2006-01-01,4.0
Negeri Sembilan,2007-01-01,3.6
Negeri Sembilan,2008-01-01,3.1
Negeri Sembilan,2009-01-01,3.9
Negeri Sembilan,2010-01-01,3.1
Negeri Sembilan,2011-01-01,3.0
Negeri Sembilan,2012-01-01,3.0
Negeri Sembilan,2013-01-01,3.1
Negeri Sembilan,2014-01-01,3.0
Negeri Sembilan,2015-01-01,3.1
Negeri Sembilan,2016-01-01,2.7
Negeri Sembilan,2017-01-01,2.8
Negeri Sembilan,2018-01-01,3.0
Negeri Sembilan,2019-01-01,3.1
Negeri Sembilan,2020-01-01,3.8
Negeri Sembilan,2021-01-01,4.2
Negeri Sembilan,2022-01-01,3.7
Pahang,1982-01-01,3.4
Pahang,1983-01-01,2.7
Pahang,1984-01-01,4.6
Pahang,1985-01-01,4.3
Pahang,1986-01-01,4.9
Pahang,1987-01-01,5.1
Pahang,1988-01-01,6.2
Pahang,1989-01-01,3.7
Pahang,1990-01-01,3.1
Pahang,1992-01-01,2.8
Pahang,1993-01-01,3.7
Pahang,1995-01-01,3.6
Pahang,1996-01-01,2.6
Pahang,1997-01-01,3.0
Pahang,1998-01-01,2.6
Pahang,1999-01-01,3.0
Pahang,2000-01-01,2.7
Pahang,2001-01-01,3.1
Pahang,2002-01-01,2.9
Pahang,2003-01-01,3.6
Pahang,2004-01-01,3.3
Pahang,2005-01-01,3.3
Pahang,2006-01-01,2.4
Pahang,2007-01-01,3.2
Pahang,2008-01-01,2.6
Pahang,2009-01-01,3.0
Pahang,2010-01-01,2.9
Pahang,2011-01-01,2.6
Pahang,2012-01-01,2.7
Pahang,2013-01-01,2.8
Pahang,2014-01-01,2.7
Pahang,2015-01-01,2.9
Pahang,2016-01-01,2.6
Pahang,2017-01-01,2.9
Pahang,2018-01-01,2.6
Pahang,2019-01-01,2.9
Pahang,2020-01-01,3.1
Pahang,2021-01-01,3.3
Pahang,2022-01-01,2.5
Perak,1982-01-01,5.4
Perak,1983-01-01,5.1
Perak,1984-01-01,5.4
Perak,1985-01-01,6.1
Perak,1986-01-01,8.7
Perak,1987-01-01,8.0
Perak,1988-01-01,8.1
Perak,1989-01-01,5.5
Perak,1990-01-01,4.1
Perak,1992-01-01,3.7
Perak,1993-01-01,4.3
Perak,1995-01-01,3.9
Perak,1996-01-01,3.2
Perak,1997-01-01,2.2
Perak,1998-01-01,3.9
Perak,1999-01-01,4.3
Perak,2000-01-01,3.5
Perak,2001-01-01,4.0
Perak,2002-01-01,3.9
Perak,2003-01-01,4.8
Perak,2004-01-01,3.3
Perak,2005-01-01,3.3
Perak,2006-01-01,3.5
Perak,2007-01-01,2.9
Perak,2008-01-01,3.8
Perak,2009-01-01,3.5
Perak,2010-01-01,3.0
Perak,2011-01-01,2.6
Perak,2012-01-01,3.0
Perak,2013-01-01,3.8
Perak,2014-01-01,3.4
Perak,2015-01-01,3.2
Perak,2016-01-01,3.4
Perak,2017-01-01,3.7
Perak,2018-01-01,3.3
Perak,2019-01-01,3.4
Perak,2020-01-01,4.8
Perak,2021-01-01,5.3
Perak,2022-01-01,4.6
Perlis,1982-01-01,4.1
Perlis,1983-01-01,3.2
Perlis,1984-01-01,4.6
Perlis,1985-01-01,7.6
Perlis,1986-01-01,8.0
Perlis,1987-01-01,6.6
Perlis,1988-01-01,7.6
Perlis,1989-01-01,6.4
Perlis,1990-01-01,4.3
Perlis,1992-01-01,2.7
Perlis,1993-01-01,1.4
Perlis,1995-01-01,1.4
Perlis,1996-01-01,2.0
Perlis,1997-01-01,2.3
Perlis,1998-01-01,4.3
Perlis,1999-01-01,3.4
Perlis,2000-01-01,2.9
Perlis,2001-01-01,3.5
Perlis,2002-01-01,3.1
Perlis,2003-01-01,4.4
Perlis,2004-01-01,3.272251308900524
Perlis,2005-01-01,2.9
Perlis,2006-01-01,3.2
Perlis,2007-01-01,3.0
Perlis,2008-01-01,2.9
Perlis,2009-01-01,3.3
Perlis,2010-01-01,3.3
Perlis,2011-01-01,4.0
Perlis,2012-01-01,3.9
Perlis,2013-01-01,3.7
Perlis,2014-01-01,3.3
Perlis,2015-01-01,2.9
Perlis,2016-01-01,2.9
Perlis,2017-01-01,3.4
Perlis,2018-01-01,3.4
Perlis,2019-01-01,3.3
Perlis,2020-01-01,4.3
Perlis,2021-01-01,4.3
Perlis,2022-01-01,3.9
Pulau Pinang,1982-01-01,3.5
Pulau Pinang,1983-01-01,3.8
Pulau Pinang,1984-01-01,3.6
Pulau Pinang,1985-01-01,5.0
Pulau Pinang,1986-01-01,8.4
